"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"12V_LED1","1","12V_LED","","","","Dash_Harness:LED-1206",""
"1111?,1211?","2","~","","","","Dash_Harness:TSOP-6_NMOS",""
"AMS_LED0","1","AMS_LED","","","","Dash_Harness:LED-1206",""
"BAT_SIGS0,CON0,ST_LINK_CONNECTIONS1,Upload1","4","MA04-1_PINHEADERS","","","","Dash_Harness:MA04-1",""
"C1","1","10uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C2,C3,C8,C9,C13","5","100nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C4,C10","2","10uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C5","1","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C6,C7","2","64nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C11,C12","2","4.7uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"CAN_SIG0,ERR_LED_SIGS_CON0,ERR_SIGS0,INDICATORS1,LM2596_SUPPLY0,LTE_CON0,NXT_SIG0,SUPPLY0","8","HEADER_POS4_?43045-0412","","","","Dash_Harness:43045-0412",""
"C_CAN0,D_CAN0","2","SN65HVD230/1","","","","Dash_Harness:SO8",""
"ERR_IN_SIGS0,ERR_LED_SIGS0","2","MA03-1","","","","ECU_BOARD_2025:MA03-1_162",""
"F2","1","1206L","","","","Dash_Harness:1206L",""
"IC1,IC4","2","~","","","","ECU_Board_2025:SOIC127P600X175-8N",""
"IC2,IC3","2","CPC1006N","","","","Dash_Harness:SOP254P610X216-4N",""
"IMD_LED0","1","IMD_LED","","","","Dash_Harness:LED-1206",""
"IN_CAP0,IN_CAP1","2","0.33uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"LED1","1","~","","","","Dash_Harness:LED-1206",""
"LM7805","1","L7805CV-DG","","","","Dash_Harness:TO255P460X1020X2008-3P",""
"OUT_CAP0,OUT_CAP1","2","0.1uF","","","","Dash_Harness:C0805",""
"PMOS0","1","TSOP-6_PMOS","","","","Dash_Harness:TSOP-6_PMOS",""
"R1,R5,R6,R7,R14,R17","6","10K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R2,R4","2","4K7","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R3","1","33K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R8,R19,R26","3","1K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R9,R12","2","102K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R10,R15,R37","3","100E","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R11,R13,R16,R21,R24,R25,R27","7","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R18","1","100k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R20","1","R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R22,R23","2","100K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R28","1","20k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R29","1","30k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"TS_OFF_LED0","1","TS_OFF_LED","","","","Dash_Harness:LED-1206",""
"U1","1","UCC2946D","","","","UCC2946D:SOIC127P599X175-8N",""
"U2","1","ZLDO1117G33TA","","","","ZLDO1117QG33TA:SOT230P700X185-4N","ZLDO1117G33TA"
"U3","1","HSS10-B20-P40","","","","Dash_Harness:HSS10B20P40",""
"U5","1","STM32G0B1KETxN","","","","Package_QFP:LQFP-32_7x7mm_P0.8mm","https://www.st.com/resource/en/datasheet/stm32g0b1ke.pdf"
"UNK5V_JPR0","1","JP2E","","","","Dash_Harness:JP2_252",""
